date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-04-01,moderna,fully_vaccinated,1,13,308097,0.32,NA,0.29,0.09,33.33,13.13,8.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-02,moderna,fully_vaccinated,0,13,309748,0,NA,0.57,0.18,0,12.75,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-03,moderna,fully_vaccinated,1,14,310875,0.32,NA,0.57,0.18,25,13.21,17.86,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-04,moderna,fully_vaccinated,0,14,310888,0,NA,0.71,0.23,0,12.96,25,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-05,moderna,fully_vaccinated,2,16,311192,0.64,NA,0.71,0.23,66.67,14.41,23.1,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-06,moderna,fully_vaccinated,0,16,318198,0,NA,0.71,0.22,0,14.16,23.1,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-07,moderna,fully_vaccinated,1,17,324740,0.31,NA,0.57,0.18,50,14.78,19.52,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-08,moderna,fully_vaccinated,1,18,332428,0.3,NA,0.57,0.17,20,15,19.52,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-09,moderna,fully_vaccinated,0,18,339374,0,NA,0.43,0.13,0,14.52,17.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-10,moderna,fully_vaccinated,0,18,341737,0,NA,0.43,0.13,0,14.29,17.14,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-11,moderna,fully_vaccinated,0,18,341934,0,NA,0.43,0.13,0,13.74,24.29,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-12,moderna,fully_vaccinated,1,19,346021,0.29,NA,0.43,0.12,50,14.29,23.81,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-13,moderna,fully_vaccinated,0,19,351407,0,NA,0.57,0.16,0,13.97,26.67,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-04-14,moderna,fully_vaccinated,1,20,356692,0.28,NA,0.71,0.2,100,14.6,31.43,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
