date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202111,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,female,fully_vaccinated,2,19,312563,0.64,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,female,partially_vaccinated,2,28,195236,1.02,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,female,not_vaccinated,97,515,3879589,2.5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,female,unknown,110,920,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,male,fully_vaccinated,4,23,235459,1.7,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,male,partially_vaccinated,2,33,160407,1.25,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,male,not_vaccinated,125,636,3926101,3.18,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,male,unknown,126,1068,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,unknown,fully_vaccinated,0,0,70,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,unknown,partially_vaccinated,0,0,79,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202112,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,female,fully_vaccinated,4,23,349462,1.14,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,female,partially_vaccinated,1,29,218128,0.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,female,not_vaccinated,92,607,3819798,2.41,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,female,unknown,132,1052,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202113,male,fully_vaccinated,10,33,265212,3.77,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
