date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-04-26,moderna,fully_vaccinated,0,0,442365,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-27,moderna,fully_vaccinated,0,0,460321,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-28,moderna,fully_vaccinated,0,0,475239,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-29,moderna,fully_vaccinated,0,0,490504,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-04-30,moderna,fully_vaccinated,0,0,498802,0,NA,0,0,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-01,moderna,fully_vaccinated,0,0,500124,0,NA,0,0,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-02,moderna,fully_vaccinated,0,0,500518,0,NA,0.14,0.03,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-03,moderna,fully_vaccinated,0,0,505590,0,NA,0.14,0.03,0,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-04,moderna,fully_vaccinated,0,0,517599,0,NA,0.14,0.03,NA,0,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-05,moderna,fully_vaccinated,1,1,531973,0.19,NA,0.14,0.03,100,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-06,moderna,fully_vaccinated,0,1,550387,0,NA,0.14,0.03,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-07,moderna,fully_vaccinated,0,1,568658,0,NA,0.14,0.02,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-08,moderna,fully_vaccinated,0,1,575399,0,NA,0.14,0.02,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-09,moderna,fully_vaccinated,0,1,577431,0,NA,0,0,NA,1.08,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-10,moderna,fully_vaccinated,0,1,592788,0,NA,0,0,0,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-11,moderna,fully_vaccinated,0,1,612534,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-12,moderna,fully_vaccinated,0,1,633367,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-13,moderna,fully_vaccinated,0,1,640178,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-14,moderna,fully_vaccinated,0,1,660002,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-15,moderna,fully_vaccinated,0,1,669243,0,NA,0,0,NA,1.06,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-16,moderna,fully_vaccinated,0,1,671056,0,NA,0,0,0,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-17,moderna,fully_vaccinated,0,1,691161,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-18,moderna,fully_vaccinated,0,1,715659,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-19,moderna,fully_vaccinated,0,1,739333,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-20,moderna,fully_vaccinated,0,1,768575,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-21,moderna,fully_vaccinated,0,1,793621,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-22,moderna,fully_vaccinated,0,1,805255,0,NA,0,0,NA,1.05,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-23,moderna,fully_vaccinated,0,1,809759,0,NA,0,0,0,1.04,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-24,moderna,fully_vaccinated,0,1,818458,0,NA,0,0,NA,1.04,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-25,moderna,fully_vaccinated,0,1,843866,0,NA,0,0,0,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-26,moderna,fully_vaccinated,0,1,870393,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-27,moderna,fully_vaccinated,0,1,899274,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-28,moderna,fully_vaccinated,0,1,930016,0,NA,0.14,0.02,NA,1.03,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-29,moderna,fully_vaccinated,1,2,946254,0.11,NA,0.29,0.03,100,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-30,moderna,fully_vaccinated,0,2,952233,0,NA,0.29,0.03,NA,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-05-31,moderna,fully_vaccinated,0,2,976134,0,NA,0.29,0.03,NA,2.04,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-01,moderna,fully_vaccinated,1,3,1005157,0.1,NA,0.29,0.03,100,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-02,moderna,fully_vaccinated,0,3,1038066,0,NA,0.14,0.01,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-03,moderna,fully_vaccinated,0,3,1070363,0,NA,0.29,0.03,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-04,moderna,fully_vaccinated,0,3,1108636,0,NA,0.29,0.03,NA,3.03,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-05,moderna,fully_vaccinated,0,3,1127289,0,NA,0.14,0.01,0,3,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-06,moderna,fully_vaccinated,1,4,1135360,0.09,NA,0.14,0.01,100,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-07,moderna,fully_vaccinated,0,4,1170420,0,NA,0.29,0.02,NA,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-08,moderna,fully_vaccinated,0,4,1211164,0,NA,0.29,0.02,NA,3.96,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
2021-06-09,moderna,fully_vaccinated,0,4,1250339,0,NA,0.29,0.02,0,3.92,NA,CHFL,COVID19Death,vaccine,limited,2021-11-25_07-51-54
