sex,nachweismethode,geoRegion,datum,entries,entries_pos,entries_neg,sumTotal,anteil_pos,anteil_pos_diff,anteil_pos_all,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_all,timeframe_phase2,timeframe_phase2b,timeframe_phase3,timeframe_phase4,timeframe_28d,timeframe_14d
unknown,all,BE,202146,15,0,15,882,0,0,4.2,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,8,NA,114.3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,BL,202146,19,0,19,432,0,0,0.7,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,3,NA,18.8,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,BS,202146,25,0,25,1490,0,0,2.3,0.002,0.2,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,3,NA,13.6,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,FL,202146,0,0,NA,4,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,0,NA,NA,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,FR,202146,0,0,NA,59,NA,NA,5.1,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,-2,NA,-100,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,GE,202146,5,0,5,336,0,0,3.3,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,-9,NA,-64.3,-0.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,GL,202146,1,0,1,25,0,0,8,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,0,NA,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,GR,202146,11,4,7,73,36.4,-23.6,12.3,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,6,NA,120,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,JU,202146,0,0,NA,11,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,-4,NA,-100,-0.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,LU,202146,9,0,9,653,0,0,1.1,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,4,NA,80,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,NE,202146,9,1,8,191,11.1,11.1,1,0.002,0.2,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,5,NA,125,0.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,NW,202146,0,0,NA,15,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,-1,NA,-100,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,OW,202146,0,0,NA,5,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,0,NA,NA,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,SG,202146,7,2,5,131,28.6,28.6,6.9,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,1,NA,16.7,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,SH,202146,0,0,NA,14,NA,NA,0,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,0,NA,NA,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,SO,202146,6,1,5,416,16.7,16.7,2.9,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,-3,NA,-33.3,-0.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,SZ,202146,0,0,NA,56,NA,NA,10.7,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,-1,NA,-100,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,TG,202146,5,5,0,101,100,13,28.7,0.001,0.1,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,-18,NA,-78.3,-0.19999999999999998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
unknown,all,TI,202146,0,0,NA,295,NA,NA,0.7,0,0,NA,NA,NA,COVID19Test,sex,2021-11-26_07-48-10,isoweek,2021-46,-14,NA,-100,-0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
