date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202106,male,unknown,37,137,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,unknown,fully_vaccinated,0,0,4,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,unknown,partially_vaccinated,0,0,53,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202106,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,female,fully_vaccinated,0,1,100382,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,female,partially_vaccinated,4,21,183130,2.18,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,female,not_vaccinated,13,84,4103876,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,female,unknown,28,163,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,male,fully_vaccinated,0,0,75052,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,male,partially_vaccinated,0,13,139281,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,male,not_vaccinated,22,112,4107634,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,male,unknown,19,156,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,fully_vaccinated,0,0,11,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,partially_vaccinated,0,0,57,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202107,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,female,fully_vaccinated,2,3,150144,1.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,female,partially_vaccinated,3,24,161272,1.86,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,female,not_vaccinated,7,91,4075972,0.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,female,unknown,15,178,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,male,fully_vaccinated,1,1,115239,0.87,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,male,partially_vaccinated,5,18,119776,4.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,male,not_vaccinated,12,124,4086952,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,male,unknown,18,174,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,fully_vaccinated,0,0,24,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,partially_vaccinated,0,0,47,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202108,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,female,fully_vaccinated,0,3,193620,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,female,partially_vaccinated,2,26,159427,1.25,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,female,not_vaccinated,14,105,4034341,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,female,unknown,14,192,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,male,fully_vaccinated,0,1,148502,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,male,partially_vaccinated,1,19,120062,0.83,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202109,male,not_vaccinated,11,135,4053403,0.27,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
