date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202109,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,female,fully_vaccinated,3,12,229283,1.31,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,female,partially_vaccinated,6,25,174393,3.44,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,female,not_vaccinated,70,349,3983712,1.76,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,female,unknown,100,701,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,male,fully_vaccinated,2,14,175063,1.14,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,male,partially_vaccinated,2,19,132885,1.51,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,male,not_vaccinated,65,422,4014019,1.62,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,male,unknown,110,821,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,unknown,fully_vaccinated,0,0,45,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,unknown,partially_vaccinated,0,0,41,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202110,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,female,fully_vaccinated,5,17,273143,1.83,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,female,partially_vaccinated,1,26,172830,0.58,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,female,not_vaccinated,69,418,3941415,1.75,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,female,unknown,110,811,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,male,fully_vaccinated,5,19,204977,2.44,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,male,partially_vaccinated,12,31,138353,8.67,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,male,not_vaccinated,89,511,3978637,2.24,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,male,unknown,121,942,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,unknown,fully_vaccinated,0,0,63,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,unknown,partially_vaccinated,0,0,73,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202111,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,female,fully_vaccinated,2,19,312331,0.64,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,female,partially_vaccinated,2,28,195139,1.02,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,female,not_vaccinated,97,515,3879918,2.5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,female,unknown,110,921,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,male,fully_vaccinated,4,23,235219,1.7,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,male,partially_vaccinated,2,33,160267,1.25,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,male,not_vaccinated,125,636,3926481,3.18,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,male,unknown,126,1068,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,unknown,fully_vaccinated,0,0,68,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,unknown,partially_vaccinated,0,0,83,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202112,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,female,fully_vaccinated,4,23,349205,1.15,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,female,partially_vaccinated,1,29,217955,0.46,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,female,not_vaccinated,92,607,3820228,2.41,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,female,unknown,132,1053,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,male,fully_vaccinated,10,33,264954,3.77,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,male,partially_vaccinated,9,42,180086,5,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,male,not_vaccinated,142,778,3876927,3.66,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,male,unknown,157,1225,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,unknown,fully_vaccinated,0,0,73,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,unknown,partially_vaccinated,0,0,94,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202113,unknown,unknown,0,1,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,female,fully_vaccinated,6,29,398086,1.51,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,female,partially_vaccinated,8,37,235581,3.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,female,not_vaccinated,90,697,3753721,2.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,female,unknown,107,1160,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,male,fully_vaccinated,9,42,303778,2.96,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,male,partially_vaccinated,7,49,199051,3.52,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,male,not_vaccinated,124,902,3819138,3.25,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,male,unknown,160,1385,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,unknown,fully_vaccinated,0,0,82,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,unknown,partially_vaccinated,0,0,114,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202114,unknown,unknown,1,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,female,fully_vaccinated,8,37,444631,1.8,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,female,partially_vaccinated,3,40,302827,0.99,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,female,not_vaccinated,119,816,3639930,3.27,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,female,unknown,82,1242,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,male,fully_vaccinated,9,51,342503,2.63,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,male,partially_vaccinated,6,55,259358,2.31,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,male,not_vaccinated,152,1054,3720106,4.09,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,male,unknown,117,1502,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,unknown,fully_vaccinated,0,0,129,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,unknown,partially_vaccinated,0,0,111,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202115,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,female,fully_vaccinated,2,39,504285,0.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,female,partially_vaccinated,6,46,381556,1.57,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,female,not_vaccinated,109,925,3501547,3.11,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,female,unknown,91,1333,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,male,fully_vaccinated,12,63,393485,3.05,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,male,partially_vaccinated,6,61,331321,1.81,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,male,not_vaccinated,145,1199,3597161,4.03,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,male,unknown,120,1622,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,unknown,fully_vaccinated,0,0,143,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,unknown,partially_vaccinated,0,0,157,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202116,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202117,female,fully_vaccinated,10,49,563298,1.78,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202117,female,partially_vaccinated,5,51,473489,1.06,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
202117,female,not_vaccinated,99,1024,3350601,2.95,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-10_07-50-19
